Provincia	Código INE	Nombre del Municipio	Nº de conatos	Nº de incendios	Total conatos + incendios	Superficie arbolada (ha)	Superficie desarbola (ha)	Superficie forestal total (ha)	Superficie total del Municipio 	
	03029	Benigembla	1	8	9	23.13	148.63	171.76	1,846.85	
	03030	Benidoleig	4	2	6	1.72	6.01	7.73	749.06	
	03031	Benidorm	9	27	36	307.85	31.22	339.07	3,871.08	
	03032	Benifallim	2	1	3	144.4	57.67	202.07	1,369.45	
	03033	Benifato	1	6	7	6.05	29.84	35.89	1,188.81	
	03034	Benijófar	1	0	1	0.01	0	0.01	436.10	
	03035	Benilloba	6	1	7	1.81	1.21	3.02	954.26	
	03036	Benillup	1	0	1	0.7	0	0.7	338.05	
	03037	Benimantell	2	5	7	12.86	28.9	41.76	3,793.12	
	03038	Benimarfull	0	3	3	0.7	0.7	1.4	556.61	
	03039	Benimassot	1	13	14	7.07	11.66	18.73	951.84	
	03040	Benimeli	2	0	2	0.2	0.03	0.23	350.77	
	03041	Benissa	11	23	34	19.3	50.47	69.77	6,978.52	
	03042	Benitachell/el Poble Nou de Benitatxell	3	0	3	0.6	0.21	0.81	1,272.18	
	03043	Biar	1	11	12	0.51	1.37	1.88	9,817.98	
	03044	Bigastro	0	0	0	0	0	0	409.81	
	03045	Bolulla	1	18	19	24.63	7.22	31.85	1,358.18	
	03046	Busot	0	4	4	1	1.04	2.04	3,385.70	
	03047	Calp	2	6	8	20.96	52.71	73.67	2,367.43	
	03048	Callosa d'en Sarrià	4	22	26	23.52	148.37	171.89	3,468.86	
	03049	Callosa de Segura	1	5	6	0.12	2.08	2.2	2,477.36	
	03050	El Campello	1	8	9	0.1	7.58	7.68	5,525.04	
	03051	Campo de Mirra/el Camp de Mirra	1	0	1	0	0.75	0.75	2,181.79	
	03052	Cañada	1	0	1	0	0.2	0.2	1,932.55	
	03053	Castalla	3	8	11	0.42	2.64	3.06	11,462.52	
	03054	Castell de Castells	3	12	15	0.95	62.94	63.89	4,595.30	
	03055	Catral	2	0	2	0	0.3	0.3	2,001.05	
	03056	Cocentaina	7	21	28	147.76	307.21	454.97	5,296.74	
	03057	Confrides	2	18	20	11.39	17.35	28.74	4,000.74	
	03058	Cox	3	1	4	1	1.03	2.03	1,676.65	
	03059	Crevillent	11	28	39	0.85	33.65	34.5	10,455.69	
	03060	Quatretondeta	1	10	11	1.97	5.41	7.38	1,671.44	
	03061	Daya Nueva	0	0	0	0	0	0	709.45	
	03062	Daya Vieja	0	0	0	0	0	0	314.29	
	03063	Dénia	8	3	11	27.48	150.16	177.64	6,666.00	
	03064	Dolores	0	0	0	0	0	0	1,870.46	
	03065	Elche/Elx	16	79	95	2.53	98.59	101.12	32,614.11	
	03066	Elda	4	4	8	0	9.81	9.81	4,579.39	
	03067	Facheca	0	3	3	0	1.51	1.51	1,018.06	
	03068	Famorca	0	4	4	0	10.72	10.72	973.01	
	03069	Finestrat	3	12	15	242.98	69.26	312.24	4,227.18	
	03070	Formentera del Segura	0	0	0	0	0	0	433.30	
	03071	Gata de Gorgos	0	12	12	3.84	32.19	36.03	2,035.16	
	03072	Gaianes	1	4	5	2	6.81	8.81	957.55	
	03073	Gorga	0	4	4	10.5	21.5	32	911.10	
	03074	Granja de Rocamora	1	2	3	0	1.2	1.2	717.23	
	03075	El Castell de Guadalest	1	6	7	3.52	0.21	3.73	1,597.93	
	03076	Guardamar del Segura	19	33	52	2.54	18.32	20.86	3,554.29	
	03077	El Fondó de les Neus/Hondón de las Nieves	4	0	4	0	0.31	0.31	6,885.39	
	03078	Hondón de los Frailes	0	0	0	0	0	0	1,254.58	
	03079	Ibi	2	15	17	17.81	4.02	21.83	6,254.48	
	03080	Jacarilla	0	0	0	0	0	0	1,220.51	
	03081	Xaló	0	5	5	6.03	374.54	380.57	3,461.50	
	03082	Jávea/Xàbia	6	17	23	74.55	201.4	275.95	6,920.53	
	03083	Jijona/Xixona	1	18	19	26.06	23.2	49.26	16,382.33	
	03084	Lorcha/L'Orxa	2	18	20	19.12	157.91	177.03	3,178.26	
	03085	Llíber	4	28	32	63.6	617.92	681.52	2,195.28	
	03086	Millena	7	0	7	2.51	14.68	17.19	977.72	
	03088	Monforte del Cid	4	2	6	0.3	6.8	7.1	7,953.80	
	03089	Monóvar/Monòver	4	19	23	8.51	16.09	24.6	15,235.77	
	03090	Mutxamel	1	0	1	0	6.7	6.7	4,773.52	
	03091	Murla	0	2	2	4.91	0	4.91	581.80	
	03092	Muro de Alcoy	20	10	30	5.16	4.87	10.03	3,025.66	
	03093	Novelda	4	0	4	0.01	0.71	0.72	7,573.34	
	03094	La Nucia	5	18	23	318.7	20.76	339.46	2,137.82	
	03095	Ondara	0	0	0	0	0	0	1,042.29	
	03096	Onil	2	12	14	8.7	2.79	11.49	4,842.04	
	03097	Orba	4	0	4	0.15	2.59	2.74	1,774.38	
	03098	Orxeta	4	4	8	1.78	0.03	1.81	2,407.68	
	03099	Orihuela	14	29	43	8.63	3.92	12.55	36,545.65	
	03100	Parcent	8	0	8	20.25	50.74	70.99	1,177.95	
	03101	Pedreguer	2	11	13	16.9	55.04	71.94	2,961.08	
	03102	Pego	9	26	35	7.64	17.97	25.61	5,288.89	
	03103	Penàguila	2	15	17	391.15	149.63	540.78	4,994.89	
	03104	Petrer	2	11	13	0.44	2.25	2.69	10,410.79	
	03105	El Pinós/Pinoso	2	21	23	3.85	13.25	17.1	12,646.87	
	03106	Planes	9	20	29	22.13	71.58	93.71	3,888.78	
	03107	Polop	2	8	10	189.01	31.38	220.39	2,259.37	
	03109	Rafal	0	0	0	0	0	0	162.23	
	03110	El Ràfol d'Almúnia	0	2	2	0.4	5.3	5.7	488.17	
	03111	Redován	3	0	3	0.09	0.01	0.1	944.79	
